Town,Latitude,Longitude
ANG MO KIO,1.3691149,103.8454342
BEDOK,1.3236038,103.9273405
BISHAN,1.3525845,103.8352116
BUKIT BATOK,1.3590288,103.7636796
BUKIT MERAH,1.2819046,103.8239182
BUKIT PANJANG,1.3774142,103.7719498
BUKIT TIMAH,1.3294113,103.8020777
CENTRAL AREA,1.2789227,103.8536113
CHOA CHU KANG,1.383980,103.7470
CLEMENTI,1.3161811,103.7649377
GEYLANG,1.3200544,103.8917746
HOUGANG,1.3612182,103.8862529
JURONG EAST,1.3328572,103.7435522
JURONG WEST,1.340390,103.7090
KALLANG/WHAMPOA,1.3245132,103.8572252
MARINE PARADE,1.3019687,103.8970821
PASIR RIS,1.3720937,103.9473728
PUNGGOL,1.3984457,103.9072046
QUEENSTOWN,1.301251,103.798132
SEMBAWANG,1.4491107,103.8184954
SENGKANG,1.386812,103.891443
SERANGOON,1.3553567,103.8678708
TAMPINES,1.3495907,103.9567879
TOA PAYOH,1.3343035,103.8563265
WOODLANDS,1.438192,103.7890
YISHUN,1.430368,103.8353628
